ROLot,date,time,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40
ROLot-00025,2022-01-01,11:12:57,117.46969875197586,120.74190146307241,125.84785648759177,135.63928006292403,119.0621760538953,152.15916214990435,121.62905686888485,126.81635995768846,80.69743571700567,135.6439735769261,,134.8020362881488,109.54791663745597,120.72843893745005,140.4929148565735,103.84011330046182,132.08567504144807,129.3133324883324,131.84425185391294,81.0923683876193,88.1269264168912,95.21715215374184,131.47397085443438,96.16199176118378,118.98238912709238,100.9286190213958,98.72643123241309,89.8591837308735,75.74762214142591,58.89572950532012,137.34314766420206,101.42722545643946,118.46132163570768,131.44587120571492,121.0667694537776,148.88000989791414,91.46057955510568,78.44476233715724,124.21659437949018,78.01626464420656
ROLot-00004,2022-01-01,16:09:46,121.68539990173667,121.64407933627633,130.15943377599504,143.18405807278398,117.66654113508143,151.95416536494773,118.62569980833905,124.38985692313251,83.02793798871956,136.15103099581845,108.87198123018632,119.39392990290752,110.4043430564708,121.23758609330464,139.60691556749808,103.40268685173537,136.63958844568356,,127.24303888941542,84.65464401686697,90.00218491654957,97.77887639341556,133.46539227183231,91.14440725823303,108.44946406934397,97.4874237602272,107.2898760548748,84.60538661997015,75.87851205501894,70.17179612095931,140.67025371862653,101.28763503513497,119.84083748461312,124.38157138510356,118.16670680825847,142.4882917189148,93.14812796233001,,117.47286570387115,71.8876812217841
ROLot-00030,2022-01-02,07:14:15,116.21599593309057,119.22537754360211,125.04663266893806,146.23010859464858,120.17057664069125,150.9693123603174,119.84724780563181,123.50740967112552,85.99682274037592,125.05152496696748,117.38851719827287,131.15420740016617,113.6450065178858,126.45042375937,145.00424542176333,102.28662279383838,130.46078379190462,129.56819445843973,140.46491697799465,82.59443927962576,84.82094248380162,85.98224628790166,134.61571412710344,92.25932086752012,119.31234294289506,95.37457402583784,112.3819483699056,91.13024703383766,78.72097195216156,67.8975111729334,134.21386948955268,104.21769779026269,121.37021718378033,128.02492711985377,123.76429044674606,151.09797627652003,96.48395344579468,70.005767257723,123.77931013528084,85.13302589538607
ROLot-00032,2022-01-02,17:39:30,114.09284764744933,121.10909943583384,119.56796026693004,155.08490791152437,120.08444329102466,155.1185981564343,119.6149520290827,127.21186966822664,93.69367159292291,123.68095373388608,117.04239432032439,127.13696706766022,112.81740759600395,128.398608445891,141.64988420023886,145.92446381673315,134.23375050735535,132.44194553201962,133.31170686482062,79.84438308360295,87.09587509780464,88.47458519991852,133.61639357975835,93.68721785739662,108.44460524003422,93.14480044792712,111.27839270767831,90.16050378351278,80.48085831267629,73.18994205350492,132.88193505583598,101.16037223573558,121.39697053547468,130.10369267750815,119.43416153440788,153.2205884369318,93.94683844753241,70.49569610147842,131.0369709141844,82.94819431499182
ROLot-00026,2022-01-03,06:04:23,118.08168289457407,124.91887401653909,175.83467256850446,129.28663513361423,116.82006463714798,154.82099839257882,134.01524340233647,123.04331800701817,101.76967770032965,117.93475476095591,117.95364623746974,128.62256803739848,115.28078728621024,127.6193168544748,142.2670819571499,103.02574295087234,130.49771290876978,137.44694880989522,128.86048437846603,80.6059730245728,86.08458976108916,72.33619477862396,135.33405166348717,79.04628077690984,116.90149179694862,96.28509436171633,109.60599878374764,86.65592388002128,77.09456896837743,73.62690107384378,134.8794472545165,102.19717860692356,129.02794172337946,123.92209083364942,128.18695544978868,151.4853576374022,95.64048830837955,70.29362612439482,121.28400981876165,92.906754352836
ROLot-00020,2022-01-05,10:34:10,112.83055814213792,112.68545116518541,134.04887441705773,128.7872917898601,122.20317894089361,160.07331879389366,141.73769686628884,122.34094835485001,86.8427051306904,,117.78064526977292,134.1856564815429,114.67384955316092,108.28843674590482,140.40579088363168,111.0632279569082,142.86796135735165,128.4138462547047,133.20121016829884,78.79277422762497,93.12865428309752,86.52814821539343,138.16723611177704,90.11662084479971,130.05232630860996,105.35301529204077,93.59830131702057,86.92642721842005,65.61512164767913,76.68783838183181,129.082550364606,103.02328237953388,123.23489463963547,125.95387953340969,113.5697407678755,150.43159222859552,95.19273655124837,82.41200367321139,183.4801182378374,73.48432302260197
ROLot-00017,2022-01-05,13:38:38,107.06275725057613,113.08675176821201,132.145958139647,130.17671567006386,118.6496916654426,151.6829380112457,138.83077340720257,121.2793423655988,86.23897370143938,115.39486651138195,112.94800892195374,127.1913067362245,115.27227057625127,109.16260420310965,139.44241646670469,109.86760233382945,139.72637291554338,128.73485735689127,137.99995144662793,86.6411764060026,93.60563585174464,88.04726635277514,137.86020877397982,87.48894292990666,135.44110298461024,102.43231644597192,94.5729140402667,85.04366611930394,64.85180548655883,73.11355425372878,140.1512947459521,102.89729955806145,124.18405951251276,121.92446665142789,114.5958577829218,147.45494539717222,94.94762287344925,79.38452106570955,122.81602975029024,75.04589132014928
ROLot-00011,2022-01-07,11:15:31,102.60974238645258,123.01188491351287,128.12456989156232,142.63061983521789,122.20582277528995,157.6932173084243,120.24812159064557,133.39294465109052,77.7246835552724,133.47532667060747,121.33684528800569,128.60420299012821,106.22654986235226,126.32681006091975,140.98917382759856,105.88434431171702,145.94270966713756,109.93946260139231,138.75633468329784,75.12092434101075,89.29448362792996,98.5682491301031,141.06520250508925,95.26767368299576,122.77937387869737,97.19251680905015,102.972480719658,89.84777461846626,54.764915417560545,61.194151672584546,135.89959272280203,97.09624539640663,127.56794263869891,134.14943454203944,113.24317411401728,145.02226721237082,97.8053236306773,85.0954088610578,129.06567535404616,82.11337114211896
ROLot-00014,2022-01-07,17:43:51,109.0015263422877,119.81149246115977,127.49869470875187,144.6919460287964,116.29119130099446,153.85553284060984,118.43589413802943,133.06393097859674,76.9833064071379,133.33162895094236,119.96470296098714,128.05946910301338,108.48163883648316,125.07073101448782,139.31103673443565,108.9405906629327,144.91193949545558,109.56697688046373,136.93925818133383,77.05922565412814,87.74746383393989,106.16988853069559,143.4500996267016,96.64588511615268,124.33914443865682,103.03147267985965,105.65441431344529,99.03170510469026,54.3165254164633,64.75551390712229,140.75825310464523,99.9552168985197,126.67708462034827,131.61040981297316,116.2413802695396,155.02347305875438,100.42918319940647,86.29333167846222,129.75630322688113,84.19849911896725
ROLot-00018,2022-01-08,08:00:33,99.50679684355433,134.07516400821672,124.27171426669302,143.43345284689775,113.35921951880283,154.45549319308813,117.915054450115,138.32442137998194,79.69767772293383,136.83984629612868,124.40980542530238,132.9362404008748,105.02264548857094,127.05510487092377,145.22529423828934,101.95010724070728,139.04698251291063,110.38369952170015,133.489122895177,71.47539881658517,84.85294879094823,92.00233018544398,142.55159235980676,96.06624620796887,110.46327668629019,96.79960058120938,106.36220359204765,100.53423922636132,54.79548223459767,111.25354604951778,146.9326649165381,98.22917962693529,128.61166897347803,130.63290276963355,119.49466136540408,155.7975047128733,97.76678690155572,77.51440706441576,133.57062555047628,88.66726095784685
ROLot-00027,2022-01-08,13:15:41,99.69096049852489,127.67383148909315,119.19900163107641,150.49230613317613,114.94308297318065,156.1615823070526,113.3658380371938,135.87059515116434,83.96466453728897,135.38864042300906,124.86302205340013,135.17004058845177,107.08470785150917,129.73650951143014,144.59915108416024,101.31200919934832,134.73981295609934,113.7274294805124,132.69637022345947,75.13425489192969,83.75606651760707,88.66865340533299,141.32801197258033,94.11215293125078,111.2139388680047,95.79797187285763,110.07388802080301,100.873114173087,56.130857547465126,63.37111326439405,139.29212911470472,98.23256459445545,130.12049664238276,130.1622601661581,126.00592754184521,144.66916661456156,100.03223215294898,79.14661636739895,129.8476999823929,88.16140777448685
ROLot-00029,2022-01-08,13:33:38,97.89291702363575,124.03796085321376,126.78261633639141,158.56007325681534,114.82969697509225,155.48494133008813,114.57116952797496,132.39406883961942,86.05952910906666,131.78284667369675,123.19104914060536,124.83492599002365,105.15607993467886,133.44795937840433,143.41203037679657,108.86117384315521,131.1164760324634,109.1476387400723,133.4180569403692,72.29580547990783,81.30208383192281,96.35093162950447,138.45767471215345,102.5219079155552,,96.44073981940443,111.33904097505587,103.68585677837027,54.73364265519644,61.52472266134237,146.66257377151888,97.03639040639342,121.75290363041067,129.38923557339191,118.08802523218773,146.30187005416366,102.32084409763814,78.5732818686203,129.47104157864197,90.20689569367883
ROLot-00038,2022-01-09,08:30:24,103.69467964940381,129.7643288194433,121.82855647101128,148.11912381530038,108.9901681935325,144.54657623674865,117.22302062290198,,93.62431557463253,131.77658852943708,129.45078432940934,134.0960147864176,105.93754561157068,132.70316131729672,143.12590832876316,103.2831899945082,132.54764892803797,117.46488072550454,127.68625952554108,69.15867758505655,77.07670038607328,82.01766463312684,139.6417606310448,80.36814041054369,95.4381173225794,96.66323398032276,113.68621963620949,93.03054355694297,,67.79976189129334,134.83201564501746,94.56677757187701,132.47434952166682,139.02352118606268,127.44318764562328,154.99568671776896,102.43741350730895,70.01503917012933,131.28767990343567,96.67484697954212
ROLot-00015,2022-01-09,13:42:56,94.43688043616095,130.35646784406129,125.78661798255878,149.42193856970846,108.39239123552044,142.25558170802444,111.61742499555203,127.56162825016956,94.04048672279536,142.81209189917732,126.77936586586281,131.67810175478562,108.89409226655712,125.89831955201637,144.74784302995036,100.6138201810221,128.36994609141865,119.26788336881508,119.17403193721175,67.60374399211784,77.20981391615737,91.99559744778023,138.0507511462636,84.16677457926525,117.02831672124431,90.99821663974704,114.32984183599906,96.5307988701343,55.862659374049464,57.962264998687075,146.18607794047895,97.43005990804056,128.37510370703413,131.84821722687474,125.99041544299801,166.89707729372404,103.28125826381857,67.38795927211476,132.1827172468679,94.31159550584933
ROLot-00031,2022-01-10,06:56:00,93.94069198621635,129.59298539473107,127.5782726940214,135.15191128379323,108.74558623763991,151.29531053597847,119.8775473055862,119.5620641954417,95.59455970001339,123.61442184034252,127.02286501061025,134.24476381946153,112.3816966374724,131.1704696410338,144.69701574625734,94.43510541915988,122.43881017422011,114.22998960878502,124.43829439198316,68.14289329511338,74.08854256248675,78.8693125608109,133.99821041860997,74.49160330339204,111.56964756652576,96.65351766935414,104.93998494821649,89.98613468921316,54.35723234871774,71.6158425615602,136.54450258987828,95.37752348401173,127.48490095120272,134.81338591105435,126.4418066155714,152.23614272655647,102.94931992733225,65.36247123791249,128.21937515917435,95.94439414790907
ROLot-00023,2022-01-10,14:25:07,98.21921839945728,127.49094388103897,123.14285029601369,139.21799151253583,105.05314214968132,153.33217278515622,121.10481285412226,116.65720607449184,98.5420802361568,131.20345794346431,129.09634955313376,143.80773855232866,108.01294118112743,136.55843939862632,148.11061030167386,98.85604114296979,126.78346091658491,113.61030214549288,117.64179852986665,66.95057082151673,74.93514295154412,69.67820998574584,136.57050164090126,76.66885985737184,115.96838748135147,93.15771107943577,107.52654021926298,99.57775323404233,55.703580297665816,80.58964723734508,137.74547766667902,92.08938390301961,133.93576124090808,130.40074820214411,131.45284226139165,150.7046439599954,100.1632451972533,64.17905619902793,123.44529341769511,88.89394618575547
ROLot-00035,2022-01-10,14:40:53,102.1003151924834,126.87586563503396,126.79097014984477,134.14841851436492,108.98396416575216,145.2771868248854,125.8143364403122,113.2688528966156,82.26187157394062,124.89806550693848,125.26738979081532,133.27757006776565,110.41294210787085,127.69326642586852,150.40594606177166,99.27294382050938,126.70764312049084,120.58838495425876,127.38307722354932,71.477123570147,75.03986688990612,74.85431521788908,138.10695655798835,83.7647774087523,115.36681712122898,96.60982079193134,102.75407787704839,92.17161807732738,53.99204682043253,68.8958389596931,140.7912271134873,91.40609728350667,132.42799603557378,131.5393911116361,128.51395728234314,151.3180567317651,101.54566578096333,64.20393975736056,122.89745475640962,91.76744603169927
ROLot-00022,2022-01-11,11:32:46,96.67080127274592,111.38055185584065,123.2650334574572,129.59554960362505,,143.43165858393726,126.99601866204002,111.05692596096138,85.17699275410452,108.20339688677973,122.14508532401857,128.39941605736527,110.44754541401245,113.22681808736264,142.63189781431524,101.5386617274502,130.31958557404647,113.5682393320657,130.31298424717124,64.3282317698672,75.10849572324608,75.83784068203501,137.49862639677806,70.4690822438978,123.93576714654765,95.46151658837405,95.03120459272269,89.34340137962593,46.820498494514254,74.49495719275708,128.6512703345422,90.50650426638236,127.67076421858215,133.1754473480924,112.07608276011622,144.39550476828032,98.86789188876136,67.30630618538821,124.93728026464002,93.15309094313554
ROLot-00024,2022-01-11,11:39:16,101.49345944640855,118.37304711440673,123.08480481075861,126.32581271122069,111.08785109923224,151.26560332225876,129.36635170026298,108.40722352405382,90.42974034948362,108.08731206061174,123.59798781797963,135.94951013229348,112.6871984141692,119.87052129431066,142.96104138057697,103.72025424736461,127.1439485902647,115.46856588264552,130.26250729230355,63.58772993655613,73.77245934415643,72.98534291950081,136.5998654943229,79.49550319265744,130.75367737796358,98.16491559627019,99.27109820800594,85.37843474340936,48.87990564003783,71.63613041597728,132.61153566236052,89.40368183515444,127.02492641221701,133.34765728093652,112.36627879596492,147.707696151481,99.90202985604348,68.58952834881057,118.71202082265248,90.48447678778959
ROLot-00009,2022-01-11,14:48:37,91.57187376673667,118.51498604792744,124.76664338227098,129.9832955360198,107.19106236030315,148.10765286210662,127.80125647362465,113.38695099887232,85.29647779159723,107.3938015813247,120.59350798958847,131.23773041725917,112.76760641364544,121.6490395290959,143.774870867577,94.63324702105088,128.75754888280224,115.06463285040441,116.52138460628196,62.68845653190611,72.92263794577256,71.74370000994428,135.16063450720188,67.58948375020297,120.81935147828507,94.01411453463491,95.28262612682255,87.2002614968114,48.78092899662518,70.20905550761444,136.4231256771785,91.1158458252072,131.91136121304697,129.56075362652075,117.8383808822306,162.75020325813645,99.41769815441508,68.06244146425146,121.03875891271358,89.30137506803332
ROLot-00003,2022-01-12,13:48:39,90.92911231550508,111.35537712275513,128.45225936708928,124.23270761367698,105.59163593188018,141.8597493655789,130.04571277252995,110.6101128495352,80.97962021403056,111.43539564876392,119.46350368369126,137.03236445020485,106.528844795102,114.46108590648417,144.0242339540965,97.84618490787025,135.66950160461272,109.42654678038079,129.6003679424157,63.77880759070126,74.40484943020425,78.82567150490101,129.73832208035128,71.30375774135804,120.8303276234147,95.6815074502869,97.98452499326606,85.26194892282551,42.15377372206178,70.31141364206937,134.1401872237006,86.88013950451843,119.00392016259792,125.6651340118481,119.26412109219127,146.5322868630453,94.26069045215623,73.93910697839885,114.35969820682203,85.98562127388827
ROLot-00001,2022-01-13,16:00:15,95.266142025161,103.43160006323264,131.22295765541952,136.18458893844445,101.45887697799567,143.32065092996757,121.02124036831914,113.86068983133073,71.66567191542,110.03928830990886,116.3009634756412,121.0857940594392,101.47074466637014,108.79295829695003,134.64974873064375,102.61715331072543,138.56547366010125,92.87035120553222,130.81952917560983,62.07729820331233,70.49597688433519,94.35895102680773,128.62342661301224,84.16537496203043,126.10029544533938,94.38571164919738,91.05048319986803,81.01978020602516,38.899004853242616,62.58103274018986,143.3538352869376,84.55867869483885,121.67133464643142,131.8736690603441,112.94558594109104,141.5697979259676,92.38813595339245,80.03160529887377,119.30827430799489,77.33688628835212
ROLot-00012,2022-01-14,06:25:18,100.22126866875318,112.39858549245419,121.31300187894989,139.23395877015102,98.81271851150113,143.86866396316086,108.80320191242393,116.13103731225273,72.85742853836621,124.44815269672073,117.09188489269052,125.71337111458965,101.59368313450089,109.96401219672687,143.84583321961838,97.06381602165611,140.03724819158967,96.40314299859524,127.86746092744501,57.03151839839288,67.7830315438246,99.35170614323538,127.17074006573321,83.47415224258933,113.32491161190818,91.67741025996129,98.45064782087069,80.00997264172541,35.57172440776249,57.58643023849118,136.1810190012135,80.24175852643907,121.82121572304844,130.3891887896348,112.53571476789547,134.79825891234546,91.69412804632233,79.0026481540666,113.70411939383698,75.53041782835136
ROLot-00002,2022-01-14,17:04:43,84.19899749734857,110.36745384628702,125.92267718353528,130.12281098022208,105.40766902480267,132.01296030818995,104.57028085105917,116.83330607488332,80.89820820642413,130.23599162603443,116.00087942317307,122.32446670095918,99.3404251572232,120.32361328121205,140.58959318760202,101.1513725098794,132.9390547445676,91.44133691735104,128.9505526207977,57.411520302127165,66.69895753413,95.23088403282,124.60428114696813,93.49183982320105,114.0508782586935,93.85832168278993,95.75562931517781,91.94671430909956,38.2347727239212,59.070423792880845,135.8664678509778,84.50808426812326,123.97800109593207,130.73117339782254,121.69433600101715,150.29723719743274,92.73996037197996,79.09254605995092,122.81052964289677,76.67972026425153
ROLot-00021,2022-01-16,14:37:25,86.99285739322224,122.18273941516594,117.1189572557361,141.01327480582668,90.20729091094344,,101.76544316789699,101.8346923066474,87.8533761867902,117.4827940844994,118.00383498654863,138.57064784356388,102.83267304085145,121.67786221213363,147.96921918954132,88.6763764040766,116.67501268593163,100.15830940304686,121.98905730771625,52.70261529289002,57.567237014380886,79.24193866578575,118.05350234499178,68.43247399084228,103.93728145010749,,107.24765319234402,91.32711494493562,45.26724812454131,67.59622068840173,139.35847942090118,77.2239748192572,124.52918518129682,135.44988103617683,114.45471170178594,153.1088639046843,93.42922949578555,61.72006409320369,111.19996650199006,85.94258534277131
